2, 3, 2, 2, 1
4, 4, 4, 4, 4
12, 10, 9, 10, 10
21, 35, 23, 21, 29
63, 59, 72, 76, 59
103, 135, 162, 119, 142
453, 323, 276, 305, 339
774, 950, 649, 832, 1041
1623, 1822, 1860, 1509, 2243
4554, 3018, 4227, 3724, 3522
6754, 8503, 7480, 6520, 13153
19205, 16767, 28867, 16203, 17019
46865, 53707, 35704, 37257, 40199
116078, 111296, 84045, 73531, 90408
180377, 180264, 147808, 142646, 230687
327233, 355704, 343228, 356305, 372996
808384, 840377, 865057, 900634, 795222
2110666, 1734231, 1732484, 1732179, 1607214
3482324, 3629988, 3256200, 3545385, 3284668
7649125, 6988506, 7470067, 7000423, 8781523
14546072, 14309987, 16419928, 17064950, 14715869
32328239, 33837943, 35001604, 37483533, 38144342
70036481, 71159240, 68188799, 65156592, 63003858
137919480, 155918475, 137662338, 130810472, 149934741
