3, 3, 3, 3, 3
10, 10, 9, 9, 11
42, 38, 29, 40, 28
74, 132, 82, 89, 108
287, 253, 317, 378, 255
452, 667, 827, 528, 636
2273, 1669, 1295, 1445, 1599
3998, 5047, 3305, 4440, 5373
8532, 10443, 10241, 7913, 12074
25623, 15931, 25781, 20128, 18921
38525, 47522, 41718, 35795, 76948
110318, 94964, 168602, 92571, 98857
276246, 311692, 207881, 219008, 239186
704820, 660346, 500781, 433637, 541903
1070458, 1078962, 874912, 830422, 1399827
1963662, 2140732, 2093879, 2123752, 2241883
4829989, 5032434, 5252824, 5439404, 4746294
12907067, 10541996, 10486110, 10428916, 9689726
21317574, 21977260, 19578279, 21459323, 20043968
46410602, 42345766, 45803044, 42487657, 53889256
88786084, 87563427, 99950626, 104217573, 89389659
197887693, 208746520, 214551943, 230205936, 233875370
429027932, 864969406, 1282765063, 1680774625, 2065528460
843780060, 1800652649, 2642640565, 3442995208, 4363987940
