3, 3, 3, 3, 3
10, 10, 9, 9, 11
42, 37, 30, 41, 28
75, 127, 84, 86, 110
269, 246, 289, 328, 249
435, 595, 706, 502, 596
1898, 1425, 1196, 1324, 1440
3372, 4041, 2873, 3606, 4394
7017, 7924, 7977, 6597, 9496
19486, 13184, 18335, 16087, 15277
29502, 36463, 32380, 28549, 55178
81810, 72065, 120478, 69799, 73189
197718, 224768, 152986, 159136, 171274
485341, 465522, 356397, 314954, 382230
762488, 762207, 632427, 611448, 964410
1391388, 1505685, 1456388, 1507408, 1574411
3396561, 3525448, 3625806, 3767570, 3343842
8772013, 7267118, 7259682, 7256489, 6759702
14589048, 15178239, 13683493, 14841287, 13801721
31914803, 29272939, 31200657, 29324094, 36444071
60820654, 59883506, 68316390, 70895518, 61498713
134585807, 140636694, 145278316, 155209878, 157855167
290700435, 585893480, 869199095, 1140374712, 1402943392
572793376, 1217578350, 1789331105, 2333672245, 2954507365
